Symbol	Frequency
k      	0.12
s      	0.09
h      	0.09
n      	0.07
l      	0.07
f      	0.07
a      	0.07
j      	0.05
i      	0.05
d      	0.05
u      	0.03
o      	0.03
9      	0.02
y      	0.02
r      	0.02
m      	0.02
8      	0.01
3      	0.01
2      	0.01
x      	0.01
w      	0.01
v      	0.01
p      	0.01
e      	0.01
1      	0.00
0      	0.00
c      	0.00
b      	0.00

Symbol	HuffmanCode
0      	0010001
1      	0010010
2      	1110101
3      	1110010
8      	1110100
9      	110110
h      	000
b      	0010000
c      	0010011
y      	00101
d      	0011
j      	0100
i      	0101
k      	011
u      	10000
w      	100010
e      	100011
a      	1001
l      	1010
n      	1011
f      	1100
o      	11010
r      	110111
m      	111000
p      	1110011
x      	1110110
v      	1110111
s      	1111

TotalBits: 867
